08-14-2025 15:01:09 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [53%@1036,24%@958,3%@954,6%@1036,6%@729,0%@729,1%@729,1%@729,off,off,off,off] EMC_FREQ 3%@665 GR3D_FREQ 39%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.843C soc2@47.968C soc0@48.406C gpu@47.75C tj@50.843C soc1@48.25C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 799mW/599mW VIN_SYS_5V0 3315mW/3131mW
08-14-2025 15:01:10 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [11%@1728,64%@1036,3%@1036,0%@1036,5%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.937C soc2@48.031C soc0@48.656C gpu@47.625C tj@50.937C soc1@48.187C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/584mW VIN_SYS_5V0 3114mW/3130mW
08-14-2025 15:01:11 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@729,1%@729,0%@729,0%@729,4%@729,37%@729,36%@729,0%@729,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 31%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.875C soc2@47.968C soc0@48.593C gpu@47.5C tj@50.875C soc1@48.187C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/570mW VIN_SYS_5V0 3014mW/3121mW
08-14-2025 15:01:12 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,1%@729,0%@729,1%@729,0%@883,57%@883,18%@883,2%@883,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.062C soc2@47.937C soc0@48.562C gpu@47.656C tj@51.062C soc1@48.156C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/559mW VIN_SYS_5V0 3114mW/3121mW
08-14-2025 15:01:13 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,0%@729,0%@729,1%@729,3%@883,34%@883,40%@883,1%@883,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 39%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.343C soc2@47.968C soc0@48.687C gpu@47.593C tj@51.343C soc1@48.156C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/549mW VIN_SYS_5V0 3014mW/3114mW
08-14-2025 15:01:14 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@1728,7%@729,1%@729,0%@729,3%@960,28%@960,42%@960,4%@960,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.937C soc2@48C soc0@48.687C gpu@47.718C tj@50.937C soc1@48.218C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 799mW/564mW VIN_SYS_5V0 3215mW/3120mW
08-14-2025 15:01:15 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,2%@729,0%@729,0%@729,6%@729,74%@729,0%@729,1%@729,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 31%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@50.875C soc2@47.906C soc0@48.625C gpu@47.843C tj@50.875C soc1@48.125C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/555mW VIN_SYS_5V0 3014mW/3114mW
08-14-2025 15:01:16 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,2%@960,13%@960,0%@960,63%@960,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.281C soc2@48.062C soc0@48.562C gpu@47.562C tj@51.281C soc1@48.062C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/546mW VIN_SYS_5V0 3014mW/3109mW
08-14-2025 15:01:17 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,73%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 32%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.031C soc2@48.031C soc0@48.625C gpu@47.625C tj@51.031C soc1@48.062C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/539mW VIN_SYS_5V0 3014mW/3104mW
08-14-2025 15:01:18 RAM 12577/62841MB (lfb 258x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1728,0%@729,0%@729,0%@729,1%@883,76%@883,0%@883,0%@883,off,off,off,off] EMC_FREQ 10%@204 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@51.218C soc2@48C soc0@48.593C gpu@47.812C tj@51.218C soc1@48.062C VDD_GPU_SOC 2797mW/2797mW VDD_CPU_CV 399mW/532mW VIN_SYS_5V0 3014mW/3100mW
